Date,Products,ISP,Production,Lifting,Sales_Gas,Production_Gas
2021-06-30,NGL,Incl. ISP,1185,1058,378,103
2021-07-01,NGL,Excl. ISP,1032,1206,103,99
2021-07-02,NGL,Incl. ISP,1100,1289,139,131
2021-07-03,LPG,Incl. ISP,1023,1106,128,93
2021-07-04,NGL,Incl. ISP,1460,1006,147,114
2021-07-05,LPG,Incl. ISP,903,1276,179,141
2021-07-06,NGL,Incl. ISP,1068,1236,337,119
2021-07-07,NGL,Incl. ISP,1307,1243,285,140
2021-07-08,NGL,Incl. ISP,940,1219,245,133
2021-07-09,LPG,Incl. ISP,1324,1465,286,135
2021-07-10,LPG,Incl. ISP,1463,1354,315,148
2021-07-11,NGL,Incl. ISP,1496,1382,123,110
2021-07-12,LPG,Excl. ISP,1065,981,408,99
2021-07-13,LPG,Incl. ISP,1476,1404,212,118
2021-07-14,LPG,Incl. ISP,1030,1122,308,118
2021-07-15,LPG,Excl. ISP,907,1267,382,125
2021-07-16,NGL,Incl. ISP,1408,1331,520,98
2021-07-17,LPG,Excl. ISP,978,922,488,113
2021-07-18,LPG,Excl. ISP,1460,971,466,121
2021-07-19,LPG,Excl. ISP,961,1290,402,133
2021-07-20,LPG,Incl. ISP,1174,924,411,95
2021-07-21,LPG,Excl. ISP,1070,1184,116,116
2021-07-22,LPG,Excl. ISP,1168,1089,415,119
2021-07-23,LPG,Excl. ISP,1068,1465,129,149
2021-07-24,NGL,Excl. ISP,1026,1086,227,101
2021-07-25,LPG,Incl. ISP,1464,1161,538,143
2021-07-26,NGL,Incl. ISP,1289,1473,356,102
2021-07-27,LPG,Incl. ISP,1257,953,399,137
2021-07-28,NGL,Incl. ISP,934,1325,214,121
2021-07-29,NGL,Incl. ISP,950,1323,181,147
2021-07-30,LPG,Incl. ISP,918,1193,410,123
2021-07-31,LPG,Excl. ISP,1042,1251,117,93
2021-08-01,LPG,Incl. ISP,1461,918,319,140
2021-08-02,NGL,Excl. ISP,1175,1028,349,143
2021-08-03,LPG,Excl. ISP,1446,1318,297,102
2021-08-04,NGL,Excl. ISP,1412,1285,533,150
2021-08-05,NGL,Incl. ISP,1353,1467,517,128
2021-08-06,NGL,Incl. ISP,1242,1302,348,111
2021-08-07,NGL,Excl. ISP,1303,1446,155,119
2021-08-08,LPG,Incl. ISP,1475,1407,121,150
2021-08-09,NGL,Excl. ISP,1069,923,342,135
2021-08-10,LPG,Excl. ISP,1247,923,268,93
2021-08-11,LPG,Excl. ISP,1034,1113,193,108
2021-08-12,NGL,Incl. ISP,1300,1086,482,123
2021-08-13,LPG,Excl. ISP,1239,1292,196,137
2021-08-14,NGL,Incl. ISP,1186,1193,144,128
2021-08-15,LPG,Incl. ISP,1278,1332,308,143
2021-08-16,LPG,Excl. ISP,1466,935,513,140
2021-08-17,NGL,Incl. ISP,986,1084,385,107
2021-08-18,LPG,Excl. ISP,1339,1383,171,139
2021-08-19,NGL,Excl. ISP,1049,1090,146,145
2021-08-20,LPG,Incl. ISP,911,1126,379,106
2021-08-21,LPG,Incl. ISP,956,903,190,150
2021-08-22,NGL,Excl. ISP,1352,959,153,115
2021-08-23,NGL,Excl. ISP,1027,1235,364,150
2021-08-24,NGL,Excl. ISP,1479,1201,341,118
2021-08-25,LPG,Incl. ISP,1214,980,172,143
2021-08-26,LPG,Incl. ISP,998,987,120,105
2021-08-27,NGL,Incl. ISP,1362,996,513,102
2021-08-28,LPG,Incl. ISP,1286,1117,480,108
2021-08-29,LPG,Incl. ISP,1403,1128,439,108
2021-08-30,LPG,Incl. ISP,947,1414,178,90
2021-08-31,LPG,Excl. ISP,1426,1291,426,95
2021-09-01,LPG,Excl. ISP,1176,1260,535,113
2021-09-02,LPG,Excl. ISP,1414,1024,177,99
2021-09-03,LPG,Incl. ISP,1154,1302,312,122
2021-09-04,NGL,Excl. ISP,1408,1014,397,103
2021-09-05,LPG,Excl. ISP,1197,1023,521,129
2021-09-06,LPG,Excl. ISP,1183,1030,407,115
2021-09-07,LPG,Excl. ISP,1292,1302,129,105
2021-09-08,NGL,Incl. ISP,1368,1136,147,145
2021-09-09,NGL,Excl. ISP,1017,1071,435,103
2021-09-10,NGL,Incl. ISP,1390,1379,310,99
2021-09-11,NGL,Excl. ISP,1051,1211,490,99
2021-09-12,NGL,Excl. ISP,1427,956,266,114
2021-09-13,LPG,Incl. ISP,1283,1032,266,134
2021-09-14,NGL,Incl. ISP,1080,1092,280,97
2021-09-15,NGL,Incl. ISP,1475,1223,313,137
2021-09-16,NGL,Excl. ISP,1260,1497,126,148
2021-09-17,LPG,Incl. ISP,1134,952,534,122
2021-09-18,NGL,Incl. ISP,1377,991,504,135
2021-09-19,LPG,Incl. ISP,1092,1186,470,105
2021-09-20,LPG,Incl. ISP,1399,1184,340,143
2021-09-21,LPG,Incl. ISP,1002,1114,152,123
2021-09-22,LPG,Incl. ISP,1082,1015,193,94
2021-09-23,NGL,Excl. ISP,1114,1410,184,100
2021-09-24,LPG,Incl. ISP,1081,1418,281,136
2021-09-25,NGL,Incl. ISP,1047,959,460,148
2021-09-26,NGL,Excl. ISP,1225,1190,332,114
2021-09-27,NGL,Excl. ISP,1041,1224,412,91
2021-09-28,LPG,Excl. ISP,1162,1323,117,90
2021-09-29,LPG,Incl. ISP,1492,1357,484,130
2021-09-30,NGL,Excl. ISP,1086,1011,509,145
2021-10-01,LPG,Excl. ISP,967,1171,123,131
2021-10-02,LPG,Incl. ISP,990,956,177,145
2021-10-03,NGL,Excl. ISP,1148,1060,390,122
2021-10-04,LPG,Excl. ISP,1388,1282,341,119
2021-10-05,LPG,Incl. ISP,1087,1095,314,148
2021-10-06,LPG,Excl. ISP,1279,982,280,117
2021-10-07,LPG,Incl. ISP,1340,1287,282,130
2021-10-08,LPG,Excl. ISP,1201,1167,171,122
2021-10-09,NGL,Incl. ISP,1191,937,211,150
2021-10-10,NGL,Excl. ISP,1158,1152,452,137
2021-10-11,NGL,Incl. ISP,1198,1262,525,148
2021-10-12,LPG,Incl. ISP,1196,1047,167,96
2021-10-13,NGL,Incl. ISP,1024,1344,481,111
2021-10-14,NGL,Excl. ISP,1451,1210,370,94
2021-10-15,LPG,Incl. ISP,1295,1185,369,110
2021-10-16,LPG,Excl. ISP,1311,1035,131,124
2021-10-17,LPG,Excl. ISP,1360,1323,243,130
2021-10-18,LPG,Excl. ISP,1033,930,373,102
2021-10-19,LPG,Excl. ISP,1245,1186,404,132
2021-10-20,LPG,Incl. ISP,1483,1434,542,97
2021-10-21,NGL,Incl. ISP,1324,1146,106,114
2021-10-22,NGL,Incl. ISP,1400,1216,468,123
2021-10-23,NGL,Incl. ISP,913,1315,142,117
2021-10-24,NGL,Excl. ISP,1491,1288,234,126
2021-10-25,NGL,Excl. ISP,1488,1418,491,146
2021-10-26,LPG,Excl. ISP,1404,1259,443,144
2021-10-27,LPG,Incl. ISP,1151,1104,181,133
2021-10-28,NGL,Incl. ISP,1341,1228,301,98
2021-10-29,NGL,Incl. ISP,1006,1344,322,93
2021-10-30,LPG,Incl. ISP,1222,1345,487,111
2021-10-31,NGL,Incl. ISP,1206,1164,406,115
2021-11-01,LPG,Excl. ISP,982,1341,461,144
2021-11-02,NGL,Incl. ISP,1489,1357,469,130
2021-11-03,LPG,Excl. ISP,1192,1320,368,129
2021-11-04,NGL,Incl. ISP,1166,972,322,97
2021-11-05,NGL,Incl. ISP,1184,1089,497,100
2021-11-06,LPG,Incl. ISP,986,1034,355,114
2021-11-07,NGL,Excl. ISP,1137,1413,124,138
2021-11-08,NGL,Excl. ISP,1174,1226,224,135
2021-11-09,NGL,Excl. ISP,922,949,364,147
2021-11-10,NGL,Incl. ISP,1059,1363,116,94
2021-11-11,LPG,Excl. ISP,1048,988,459,96
2021-11-12,NGL,Excl. ISP,1126,985,460,111
2021-11-13,LPG,Incl. ISP,965,914,298,127
2021-11-14,LPG,Incl. ISP,1034,1426,546,90
2021-11-15,LPG,Excl. ISP,1223,1157,125,149
2021-11-16,LPG,Excl. ISP,1050,1325,283,102
2021-11-17,LPG,Excl. ISP,1479,1204,123,148
2021-11-18,LPG,Excl. ISP,1224,1296,475,107
2021-11-19,NGL,Incl. ISP,1164,1425,542,140
2021-11-20,NGL,Incl. ISP,1059,1132,492,105
2021-11-21,LPG,Incl. ISP,1304,1005,435,115
2021-11-22,NGL,Excl. ISP,904,1083,146,133
2021-11-23,LPG,Excl. ISP,1207,1210,172,149
2021-11-24,LPG,Incl. ISP,1370,1453,278,99
2021-11-25,NGL,Excl. ISP,1435,901,377,128
2021-11-26,NGL,Excl. ISP,1466,1257,186,140
2021-11-27,LPG,Incl. ISP,920,1482,449,108
2021-11-28,NGL,Excl. ISP,1477,1291,292,145
2021-11-29,NGL,Incl. ISP,1489,1072,529,114
2021-11-30,NGL,Incl. ISP,989,1104,362,94
2021-12-01,NGL,Excl. ISP,1446,1173,170,91
2021-12-02,NGL,Excl. ISP,1310,1472,206,150
2021-12-03,LPG,Incl. ISP,1257,902,443,128
2021-12-04,NGL,Excl. ISP,1019,1157,115,113
2021-12-05,LPG,Excl. ISP,1340,1413,167,145
2021-12-06,LPG,Excl. ISP,1261,1076,401,147
2021-12-07,LPG,Incl. ISP,1316,1414,174,102
2021-12-08,LPG,Excl. ISP,902,1276,288,145
2021-12-09,NGL,Incl. ISP,1143,1429,118,98
2021-12-10,NGL,Excl. ISP,1176,1352,405,115
2021-12-11,NGL,Incl. ISP,1070,1237,153,92
2021-12-12,NGL,Incl. ISP,1268,1050,494,141
2021-12-13,NGL,Incl. ISP,1303,1023,261,119
2021-12-14,NGL,Incl. ISP,1148,1301,232,121
2021-12-15,LPG,Incl. ISP,1318,1437,168,99
2021-12-16,LPG,Incl. ISP,1264,1333,248,119
2021-12-17,LPG,Excl. ISP,1370,1079,103,150
2021-12-18,LPG,Incl. ISP,1228,1232,409,101
2021-12-19,LPG,Incl. ISP,974,984,491,112
2021-12-20,NGL,Incl. ISP,1166,913,220,115
2021-12-21,NGL,Excl. ISP,999,1218,271,109
2021-12-22,LPG,Incl. ISP,962,1386,315,125
2021-12-23,LPG,Incl. ISP,1084,1329,198,94
2021-12-24,LPG,Incl. ISP,1449,1051,302,120
2021-12-25,LPG,Incl. ISP,1451,1282,378,136
2021-12-26,LPG,Excl. ISP,1153,1163,140,135
2021-12-27,LPG,Excl. ISP,1069,1299,218,131
2021-12-28,LPG,Excl. ISP,1118,1459,202,98
2021-12-29,NGL,Excl. ISP,1044,1011,533,129
2021-12-30,LPG,Excl. ISP,1252,1219,275,149
2021-12-31,NGL,Incl. ISP,1039,1420,299,137
2022-01-01,NGL,Excl. ISP,1118,1021,484,128
2022-01-02,LPG,Incl. ISP,1116,1347,453,135
2022-01-03,LPG,Incl. ISP,1319,1400,345,107
2022-01-04,NGL,Incl. ISP,1288,1092,365,148
2022-01-05,NGL,Excl. ISP,1077,1167,313,96
2022-01-06,LPG,Incl. ISP,1280,1203,385,96
2022-01-07,NGL,Incl. ISP,1103,1094,225,123
2022-01-08,LPG,Incl. ISP,922,1487,353,117
2022-01-09,NGL,Excl. ISP,953,1419,498,119
2022-01-10,LPG,Incl. ISP,1482,1261,263,113
2022-01-11,LPG,Incl. ISP,1475,1064,467,105
2022-01-12,NGL,Incl. ISP,1240,1420,152,122
2022-01-13,NGL,Incl. ISP,1074,1264,233,146
2022-01-14,LPG,Incl. ISP,1351,1243,249,107
2022-01-15,NGL,Incl. ISP,1177,1493,143,118
2022-01-16,NGL,Excl. ISP,931,1131,499,104
2022-01-17,NGL,Incl. ISP,945,987,509,90
2022-01-18,LPG,Incl. ISP,1302,1278,427,134
2022-01-19,LPG,Excl. ISP,1362,1498,244,144
2022-01-20,NGL,Incl. ISP,1233,1308,378,106
2022-01-21,LPG,Incl. ISP,1369,1110,102,104
2022-01-22,LPG,Excl. ISP,1028,1105,197,106
2022-01-23,LPG,Incl. ISP,1341,1167,246,139
2022-01-24,LPG,Incl. ISP,1330,948,294,131
2022-01-25,LPG,Excl. ISP,1101,1258,312,94
2022-01-26,NGL,Incl. ISP,1216,1103,271,93
2022-01-27,LPG,Excl. ISP,1440,970,506,117
2022-01-28,LPG,Incl. ISP,1382,1081,205,125
2022-01-29,NGL,Incl. ISP,1066,1180,133,117
2022-01-30,NGL,Excl. ISP,967,963,402,103
2022-01-31,LPG,Incl. ISP,1001,1042,484,138
2022-02-01,NGL,Incl. ISP,1344,1320,217,112
2022-02-02,LPG,Incl. ISP,988,1360,405,103
2022-02-03,NGL,Excl. ISP,1339,1100,542,111
2022-02-04,LPG,Incl. ISP,921,1321,421,119
2022-02-05,NGL,Incl. ISP,1499,1305,167,123
2022-02-06,NGL,Excl. ISP,1178,949,265,90
2022-02-07,LPG,Incl. ISP,1037,1242,316,143
2022-02-08,NGL,Excl. ISP,952,1054,315,134
2022-02-09,LPG,Incl. ISP,1053,1456,342,141
2022-02-10,LPG,Excl. ISP,1493,934,250,139
2022-02-11,LPG,Excl. ISP,1130,1390,448,115
2022-02-12,LPG,Excl. ISP,1225,1353,213,133
2022-02-13,NGL,Excl. ISP,1196,998,219,93
2022-02-14,LPG,Excl. ISP,1343,1222,424,139
2022-02-15,LPG,Excl. ISP,919,1307,432,141
2022-02-16,LPG,Incl. ISP,1350,1119,376,114
2022-02-17,LPG,Excl. ISP,1096,1404,228,102
2022-02-18,NGL,Excl. ISP,1234,1094,299,122
2022-02-19,NGL,Incl. ISP,1400,1430,212,122
2022-02-20,LPG,Incl. ISP,1371,1009,415,112
2022-02-21,NGL,Excl. ISP,946,1465,107,128
2022-02-22,NGL,Excl. ISP,995,1181,416,105
2022-02-23,LPG,Excl. ISP,1226,1472,147,144
2022-02-24,NGL,Excl. ISP,1070,1149,494,90
2022-02-25,NGL,Excl. ISP,1103,1007,159,126
2022-02-26,NGL,Incl. ISP,1410,1115,211,131
2022-02-27,NGL,Excl. ISP,1222,1089,429,139
2022-02-28,NGL,Excl. ISP,1092,1246,492,98
2022-03-01,NGL,Excl. ISP,1211,1443,192,107
2022-03-02,NGL,Excl. ISP,1029,1353,358,112
2022-03-03,LPG,Excl. ISP,1103,1105,172,102
2022-03-04,LPG,Excl. ISP,1032,1300,222,132
2022-03-05,LPG,Excl. ISP,1232,1149,365,149
2022-03-06,NGL,Excl. ISP,1132,901,306,137
2022-03-07,NGL,Excl. ISP,1100,1098,454,104
2022-03-08,LPG,Excl. ISP,969,1067,453,115
2022-03-09,LPG,Incl. ISP,1403,1443,258,94
2022-03-10,NGL,Excl. ISP,912,1031,309,127
2022-03-11,NGL,Excl. ISP,1446,1072,535,137
2022-03-12,LPG,Excl. ISP,1234,1034,211,129
2022-03-13,LPG,Incl. ISP,1344,1441,529,98
2022-03-14,NGL,Incl. ISP,914,1473,196,94
2022-03-15,LPG,Incl. ISP,1254,1086,202,122
2022-03-16,NGL,Incl. ISP,1137,1364,207,148
2022-03-17,LPG,Excl. ISP,960,1234,428,106
2022-03-18,NGL,Excl. ISP,1449,1150,327,143
2022-03-19,LPG,Excl. ISP,1169,1456,462,131
2022-03-20,NGL,Excl. ISP,1143,1383,424,97
2022-03-21,LPG,Incl. ISP,1143,1359,139,91
2022-03-22,NGL,Incl. ISP,1111,1321,313,140
2022-03-23,LPG,Incl. ISP,1174,1130,275,110
2022-03-24,LPG,Incl. ISP,1150,1095,223,126
2022-03-25,NGL,Incl. ISP,1082,950,105,106
2022-03-26,NGL,Excl. ISP,1426,1127,459,91
2022-03-27,LPG,Incl. ISP,1134,1327,367,101
2022-03-28,NGL,Incl. ISP,1065,1396,206,136
2022-03-29,LPG,Incl. ISP,1368,1093,409,133
2022-03-30,LPG,Excl. ISP,1201,1239,274,117
2022-03-31,NGL,Excl. ISP,1022,955,188,147
2022-04-01,LPG,Excl. ISP,975,1165,248,121
2022-04-02,LPG,Incl. ISP,918,1227,374,148
2022-04-03,LPG,Incl. ISP,1490,1293,264,143
2022-04-04,LPG,Excl. ISP,1060,1318,192,108
2022-04-05,LPG,Excl. ISP,1490,1170,259,147
2022-04-06,LPG,Incl. ISP,913,1072,107,121
2022-04-07,LPG,Excl. ISP,1308,1371,457,148
2022-04-08,NGL,Incl. ISP,1276,1116,346,131
2022-04-09,NGL,Incl. ISP,1280,1048,496,93
2022-04-10,NGL,Incl. ISP,1065,1246,300,143
2022-04-11,NGL,Incl. ISP,1107,1393,375,135
2022-04-12,LPG,Excl. ISP,1331,1471,305,143
2022-04-13,NGL,Excl. ISP,913,1289,354,99
2022-04-14,LPG,Excl. ISP,1368,996,185,135
2022-04-15,LPG,Excl. ISP,1315,1020,301,105
2022-04-16,LPG,Excl. ISP,1340,1197,248,97
2022-04-17,LPG,Incl. ISP,953,1011,371,110
2022-04-18,LPG,Excl. ISP,1294,1294,432,144
2022-04-19,NGL,Incl. ISP,1100,1322,219,107
2022-04-20,NGL,Excl. ISP,1009,964,531,124
2022-04-21,LPG,Excl. ISP,1107,1128,166,108
2022-04-22,LPG,Excl. ISP,1424,1343,492,101
2022-04-23,NGL,Excl. ISP,1287,1205,328,142
2022-04-24,LPG,Excl. ISP,1304,1038,309,131
2022-04-25,NGL,Incl. ISP,1442,1167,456,112
2022-04-26,LPG,Excl. ISP,1261,918,160,121
2022-04-27,NGL,Incl. ISP,1126,1136,193,125
2022-04-28,NGL,Incl. ISP,1025,1296,409,129
2022-04-29,NGL,Excl. ISP,1016,1138,345,128
2022-04-30,NGL,Excl. ISP,990,1084,455,105
