Sales_ID,Date,Outlets,Product,Quantity,Price,Total,Target,Upsell,Count_of_Products,Net Profit
T00024,24-01-21,Outlet B,Notebook 3,81,560,45360,70000000,1,3,3084.48
T00024,24-01-21,Outlet B,Monitor,68,269,18292,70000000,1,3,1243.856
T00025,25-01-21,Outlet B,Keyboard,81,899,72819,70000000,1,4,4951.692
T00025,25-01-21,Outlet B,Notebook 3 Pro,125,720,90000,70000000,1,4,6120
T00025,25-01-21,Outlet B,Mouse,244,599,146156,70000000,1,4,9938.608
T00025,25-01-21,Outlet B,Monitor,239,269,64291,70000000,1,4,4371.788
T00026,26-01-21,Outlet A,Keyboard,13,899,11687,70000000,1,2,794.716
T00026,26-01-21,Outlet A,Notebook 3 Pro,98,720,70560,70000000,1,2,4798.08
T00027,27-01-21,Outlet C,Keyboard,100,899,89900,70000000,0,3,6113.2
T00027,27-01-21,Outlet C,Notebook 3 Pro,97,720,69840,70000000,0,3,4749.12
T00027,27-01-21,Outlet C,Notebook 3,198,560,110880,70000000,0,3,7539.84
T00028,28-01-21,Outlet A,Headphones,23,179,4117,70000000,1,4,279.956
T00028,28-01-21,Outlet A,Keyboard,38,899,34162,70000000,1,4,2323.016
T00028,28-01-21,Outlet A,Notebook 3,52,560,29120,70000000,1,4,1980.16
T00028,28-01-21,Outlet A,Monitor,46,269,12374,70000000,1,4,841.432
T00029,29-01-21,Outlet C,Headphones,4,179,716,70000000,1,3,48.688
T00029,29-01-21,Outlet C,Notebook 3 Pro,11,720,7920,70000000,1,3,538.56
T00029,29-01-21,Outlet C,Keyboard,84,899,75516,70000000,1,3,5135.088
T00030,30-01-21,Outlet B,Headphones,51,179,9129,70000000,0,3,620.772
T00030,30-01-21,Outlet B,Notebook 3,14,560,7840,70000000,0,3,533.12
T00030,30-01-21,Outlet B,Monitor,44,269,11836,70000000,0,3,804.848
T00031,31-01-21,Outlet C,Headphones,122,179,21838,70000000,1,3,1484.984
T00031,31-01-21,Outlet C,Mouse,121,599,72479,70000000,1,3,4928.572
T00031,31-01-21,Outlet C,Monitor,97,269,26093,70000000,1,3,1774.324
T00032,02-01-21,Outlet B,Notebook 3 Pro,55,720,39600,70000000,1,4,2692.8
T00032,02-01-21,Outlet B,Mouse,221,599,132379,70000000,1,4,9001.772
T00032,02-01-21,Outlet B,Notebook 3,18,560,10080,70000000,1,4,685.44
T00032,02-01-21,Outlet B,Monitor,106,269,28514,70000000,1,4,1938.952
T00033,02-02-21,Outlet A,Keyboard,185,899,166315,70000000,1,4,11309.42
T00033,02-02-21,Outlet A,Notebook 3 Pro,144,720,103680,70000000,1,4,7050.24
T00033,02-02-21,Outlet A,Mouse,156,599,93444,70000000,1,4,6354.192
T00033,02-02-21,Outlet A,Notebook 3,18,560,10080,70000000,1,4,685.44
T00034,02-03-21,Outlet A,Keyboard,165,899,148335,70000000,1,3,10086.78
T00034,02-03-21,Outlet A,Notebook 3 Pro,199,720,143280,70000000,1,3,9743.04
T00034,02-03-21,Outlet A,Mouse,226,599,135374,70000000,1,3,9205.432
T00035,02-04-21,Outlet C,Notebook 3 Pro,46,720,33120,70000000,1,3,2252.16
T00035,02-04-21,Outlet C,Notebook 3,19,560,10640,70000000,1,3,723.52
T00035,02-04-21,Outlet C,Mouse,45,599,26955,70000000,1,3,1832.94
T00036,02-05-21,Outlet A,Headphones,218,179,39022,70000000,1,3,2653.496
T00036,02-05-21,Outlet A,Keyboard,173,899,155527,70000000,1,3,10575.836
T00036,02-05-21,Outlet A,Mouse,78,599,46722,70000000,1,3,3177.096
T00037,02-06-21,Outlet C,Notebook 3,111,560,62160,70000000,1,2,4226.88
T00037,02-06-21,Outlet C,Monitor,249,269,66981,70000000,1,2,4554.708
T00038,02-07-21,Outlet A,Headphones,81,179,14499,70000000,0,3,985.932
T00038,02-07-21,Outlet A,Keyboard,162,899,145638,70000000,0,3,9903.384
T00038,02-07-21,Outlet A,Notebook 3 Pro,143,720,102960,70000000,0,3,7001.28
T00039,02-08-21,Outlet A,Headphones,14,179,2506,70000000,1,4,170.408
T00039,02-08-21,Outlet A,Mouse,139,599,83261,70000000,1,4,5661.748
T00039,02-08-21,Outlet A,Notebook 3,86,560,48160,70000000,1,4,3274.88
T00039,02-08-21,Outlet A,Keyboard,221,899,198679,70000000,1,4,13510.172
T00040,02-09-21,Outlet A,Headphones,205,179,36695,70000000,1,3,2495.26
T00040,02-09-21,Outlet A,Notebook 3 Pro,9,720,6480,70000000,1,3,440.64
T00040,02-09-21,Outlet A,Mouse,234,599,140166,70000000,1,3,9531.288
T00041,02-10-21,Outlet A,Notebook 3 Pro,56,720,40320,70000000,0,3,2741.76
T00041,02-10-21,Outlet A,Notebook 3,29,560,16240,70000000,0,3,1104.32
T00041,02-10-21,Outlet A,Monitor,237,269,63753,70000000,0,3,4335.204
T00042,02-11-21,Outlet B,Headphones,54,179,9666,70000000,1,4,657.288
T00042,02-11-21,Outlet B,Notebook 3 Pro,61,720,43920,70000000,1,4,2986.56
T00042,02-11-21,Outlet B,Keyboard,182,899,163618,70000000,1,4,11126.024
T00042,02-11-21,Outlet B,Monitor,220,269,59180,70000000,1,4,4024.24
T00043,02-12-21,Outlet C,Headphones,160,179,28640,70000000,1,3,1947.52
T00043,02-12-21,Outlet C,Notebook 3,52,560,29120,70000000,1,3,1980.16
T00043,02-12-21,Outlet C,Monitor,183,269,49227,70000000,1,3,3347.436
T00044,13-02-21,Outlet C,Headphones,175,179,31325,70000000,1,3,2130.1
T00044,13-02-21,Outlet C,Mouse,6,599,3594,70000000,1,3,244.392
T00044,13-02-21,Outlet C,Notebook 3,73,560,40880,70000000,1,3,2779.84
T00045,14-02-21,Outlet A,Headphones,116,179,20764,70000000,1,2,1411.952
T00045,14-02-21,Outlet A,Notebook 3 Pro,111,720,79920,70000000,1,2,5434.56
T00046,15-02-21,Outlet B,Keyboard,212,899,190588,70000000,1,3,12959.984
T00046,15-02-21,Outlet B,Mouse,29,599,17371,70000000,1,3,1181.228
T00046,15-02-21,Outlet B,Notebook 3 Pro,190,720,136800,70000000,1,3,9302.4
T00047,16-02-21,Outlet B,Headphones,35,179,6265,70000000,1,3,426.02
T00047,16-02-21,Outlet B,Keyboard,143,899,128557,70000000,1,3,8741.876
T00047,16-02-21,Outlet B,Monitor,118,269,31742,70000000,1,3,2158.456
T00048,17-02-21,Outlet A,Keyboard,158,899,142042,70000000,1,4,9658.856
T00048,17-02-21,Outlet A,Mouse,149,599,89251,70000000,1,4,6069.068
T00048,17-02-21,Outlet A,Monitor,241,269,64829,70000000,1,4,4408.372
T00048,17-02-21,Outlet A,Notebook 3 Pro,151,720,108720,70000000,1,4,7392.96
T00049,18-02-21,Outlet B,Headphones,217,179,38843,70000000,1,3,2641.324
T00049,18-02-21,Outlet B,Notebook 3 Pro,47,720,33840,70000000,1,3,2301.12
T00049,18-02-21,Outlet B,Monitor,123,269,33087,70000000,1,3,2249.916
T00050,19-02-21,Outlet A,Notebook 3 Pro,227,720,163440,70000000,0,2,11113.92
T00050,19-02-21,Outlet A,Mouse,64,599,38336,70000000,0,2,2606.848
T00051,20-02-21,Outlet A,Notebook 3 Pro,191,720,137520,70000000,1,4,9351.36
T00051,20-02-21,Outlet A,Mouse,82,599,49118,70000000,1,4,3340.024
T00051,20-02-21,Outlet A,Monitor,120,269,32280,70000000,1,4,2195.04
T00051,20-02-21,Outlet A,Notebook 3,80,560,44800,70000000,1,4,3046.4
T00052,21-02-21,Outlet A,Headphones,19,179,3401,70000000,1,4,231.268
T00052,21-02-21,Outlet A,Mouse,131,599,78469,70000000,1,4,5335.892
T00052,21-02-21,Outlet A,Notebook 3,199,560,111440,70000000,1,4,7577.92
T00052,21-02-21,Outlet A,Monitor,63,269,16947,70000000,1,4,1152.396
T00053,22-02-21,Outlet A,Headphones,166,179,29714,70000000,1,3,2020.552
T00053,22-02-21,Outlet A,Keyboard,158,899,142042,70000000,1,3,9658.856
T00053,22-02-21,Outlet A,Monitor,98,269,26362,70000000,1,3,1792.616
T00054,23-02-21,Outlet C,Keyboard,139,899,124961,70000000,0,3,8497.348
T00054,23-02-21,Outlet C,Notebook 3,217,560,121520,70000000,0,3,8263.36
T00054,23-02-21,Outlet C,Notebook 3 Pro,71,720,51120,70000000,0,3,3476.16
T00055,24-02-21,Outlet A,Keyboard,1,899,899,70000000,1,4,61.132
T00055,24-02-21,Outlet A,Notebook 3 Pro,22,720,15840,70000000,1,4,1077.12
T00055,24-02-21,Outlet A,Mouse,214,599,128186,70000000,1,4,8716.648
T00055,24-02-21,Outlet A,Monitor,56,269,15064,70000000,1,4,1024.352
T00056,25-02-21,Outlet B,Keyboard,2,899,1798,70000000,1,3,122.264
T00056,25-02-21,Outlet B,Notebook 3 Pro,97,720,69840,70000000,1,3,4749.12
T00056,25-02-21,Outlet B,Headphones,187,179,33473,70000000,1,3,2276.164
T00057,26-02-21,Outlet A,Keyboard,234,899,210366,70000000,1,4,14304.888
T00057,26-02-21,Outlet A,Notebook 3 Pro,103,720,74160,70000000,1,4,5042.88
T00057,26-02-21,Outlet A,Notebook 3,128,560,71680,70000000,1,4,4874.24
T00057,26-02-21,Outlet A,Headphones,211,179,37769,70000000,1,4,2568.292
T00058,27-02-21,Outlet A,Keyboard,85,899,76415,70000000,1,2,5196.22
T00058,27-02-21,Outlet A,Notebook 3,72,560,40320,70000000,1,2,2741.76
T00059,28-02-21,Outlet A,Keyboard,181,899,162719,70000000,1,3,11064.892
T00059,28-02-21,Outlet A,Mouse,193,599,115607,70000000,1,3,7861.276
T00059,28-02-21,Outlet A,Monitor,9,269,2421,70000000,1,3,164.628
T00060,03-01-21,Outlet C,Notebook 3 Pro,229,720,164880,70000000,1,3,11211.84
T00060,03-01-21,Outlet C,Mouse,86,599,51514,70000000,1,3,3502.952
T00060,03-01-21,Outlet C,Monitor,125,269,33625,70000000,1,3,2286.5
T00061,03-02-21,Outlet A,Keyboard,108,899,97092,70000000,0,3,6602.256
T00061,03-02-21,Outlet A,Notebook 3,88,560,49280,70000000,0,3,3351.04
T00061,03-02-21,Outlet A,Notebook 3 Pro,80,720,57600,70000000,0,3,3916.8
T00062,03-03-21,Outlet C,Headphones,147,179,26313,70000000,1,3,1789.284
T00062,03-03-21,Outlet C,Keyboard,24,899,21576,70000000,1,3,1467.168
T00062,03-03-21,Outlet C,Mouse,235,599,140765,70000000,1,3,9572.02
T00063,03-04-21,Outlet B,Keyboard,111,899,99789,70000000,1,3,6785.652
T00063,03-04-21,Outlet B,Mouse,180,599,107820,70000000,1,3,7331.76
T00063,03-04-21,Outlet B,Monitor,226,269,60794,70000000,1,3,4133.992
T00064,03-05-21,Outlet A,Headphones,170,179,30430,70000000,1,3,2069.24
T00064,03-05-21,Outlet A,Notebook 3 Pro,213,720,153360,70000000,1,3,10428.48
T00064,03-05-21,Outlet A,Mouse,232,599,138968,70000000,1,3,9449.824
T00065,03-06-21,Outlet A,Mouse,201,599,120399,70000000,1,2,8187.132
T00065,03-06-21,Outlet A,Notebook 3,30,560,16800,70000000,1,2,1142.4
T00066,03-07-21,Outlet B,Headphones,225,179,40275,70000000,0,3,2738.7
T00066,03-07-21,Outlet B,Mouse,214,599,128186,70000000,0,3,8716.648
T00066,03-07-21,Outlet B,Monitor,35,269,9415,70000000,0,3,640.22
T00067,03-08-21,Outlet B,Keyboard,28,899,25172,70000000,1,4,1711.696
T00067,03-08-21,Outlet B,Notebook 3,165,560,92400,70000000,1,4,6283.2
T00067,03-08-21,Outlet B,Mouse,186,599,111414,70000000,1,4,7576.152
T00067,03-08-21,Outlet B,Notebook 3 Pro,96,720,69120,70000000,1,4,4700.16
T00068,03-09-21,Outlet B,Notebook 3 Pro,225,720,162000,70000000,1,3,11016
T00068,03-09-21,Outlet B,Notebook 3,179,560,100240,70000000,1,3,6816.32
T00068,03-09-21,Outlet B,Monitor,141,269,37929,70000000,1,3,2579.172
T00069,03-10-21,Outlet C,Headphones,58,179,10382,70000000,1,4,705.976
T00069,03-10-21,Outlet C,Notebook 3 Pro,173,720,124560,70000000,1,4,8470.08
T00069,03-10-21,Outlet C,Mouse,203,599,121597,70000000,1,4,8268.596
T00069,03-10-21,Outlet C,Monitor,65,269,17485,70000000,1,4,1188.98
T00070,03-11-21,Outlet A,Headphones,35,179,6265,70000000,1,3,426.02
T00070,03-11-21,Outlet A,Keyboard,103,899,92597,70000000,1,3,6296.596
T00070,03-11-21,Outlet A,Mouse,197,599,118003,70000000,1,3,8024.204
T00071,03-12-21,Outlet A,Headphones,220,179,39380,70000000,1,3,2677.84
T00071,03-12-21,Outlet A,Notebook 3 Pro,136,720,97920,70000000,1,3,6658.56
T00071,03-12-21,Outlet A,Notebook 3,11,560,6160,70000000,1,3,418.88
T00072,13-03-21,Outlet A,Headphones,126,179,22554,70000000,0,4,1533.672
T00072,13-03-21,Outlet A,Keyboard,83,899,74617,70000000,0,4,5073.956
T00072,13-03-21,Outlet A,Notebook 3,231,560,129360,70000000,0,4,8796.48
T00072,13-03-21,Outlet A,Mouse,57,599,34143,70000000,0,4,2321.724
T00073,14-03-21,Outlet B,Keyboard,34,899,30566,70000000,1,3,2078.488
T00073,14-03-21,Outlet B,Notebook 3 Pro,62,720,44640,70000000,1,3,3035.52
T00073,14-03-21,Outlet B,Notebook 3,236,560,132160,70000000,1,3,8986.88
T00074,15-03-21,Outlet C,Keyboard,15,899,13485,70000000,0,3,916.98
T00074,15-03-21,Outlet C,Monitor,153,269,41157,70000000,0,3,2798.676
T00074,15-03-21,Outlet C,Notebook 3 Pro,148,720,106560,70000000,0,3,7246.08
T00075,16-03-21,Outlet A,Headphones,56,179,10024,70000000,1,4,681.632
T00075,16-03-21,Outlet A,Keyboard,159,899,142941,70000000,1,4,9719.988
T00075,16-03-21,Outlet A,Mouse,140,599,83860,70000000,1,4,5702.48
T00075,16-03-21,Outlet A,Notebook 3 Pro,27,720,19440,70000000,1,4,1321.92
T00076,17-03-21,Outlet B,Headphones,26,179,4654,70000000,1,2,316.472
T00076,17-03-21,Outlet B,Notebook 3,70,560,39200,70000000,1,2,2665.6
T00077,18-03-21,Outlet C,Keyboard,80,899,71920,70000000,1,3,4890.56
T00077,18-03-21,Outlet C,Mouse,115,599,68885,70000000,1,3,4684.18
T00077,18-03-21,Outlet C,Monitor,213,269,57297,70000000,1,3,3896.196
T00078,19-03-21,Outlet B,Headphones,41,179,7339,70000000,1,4,499.052
T00078,19-03-21,Outlet B,Keyboard,77,899,69223,70000000,1,4,4707.164
T00078,19-03-21,Outlet B,Notebook 3,127,560,71120,70000000,1,4,4836.16
T00078,19-03-21,Outlet B,Notebook 3 Pro,207,720,149040,70000000,1,4,10134.72
T00079,20-03-21,Outlet B,Keyboard,233,899,209467,70000000,1,4,14243.756
T00079,20-03-21,Outlet B,Notebook 3 Pro,192,720,138240,70000000,1,4,9400.32
T00079,20-03-21,Outlet B,Notebook 3,30,560,16800,70000000,1,4,1142.4
T00079,20-03-21,Outlet B,Mouse,234,599,140166,70000000,1,4,9531.288
T00080,21-03-21,Outlet A,Notebook 3 Pro,189,720,136080,70000000,0,3,9253.44
T00080,21-03-21,Outlet A,Notebook 3,222,560,124320,70000000,0,3,8453.76
T00080,21-03-21,Outlet A,Mouse,19,599,11381,70000000,0,3,773.908
T00081,22-03-21,Outlet B,Headphones,104,179,18616,70000000,1,4,1265.888
T00081,22-03-21,Outlet B,Mouse,22,599,13178,70000000,1,4,896.104
T00081,22-03-21,Outlet B,Monitor,191,269,51379,70000000,1,4,3493.772
T00081,22-03-21,Outlet B,Notebook 3,143,560,80080,70000000,1,4,5445.44
T00082,23-03-21,Outlet A,Headphones,155,179,27745,70000000,1,4,1886.66
T00082,23-03-21,Outlet A,Notebook 3 Pro,171,720,123120,70000000,1,4,8372.16
T00082,23-03-21,Outlet A,Notebook 3,199,560,111440,70000000,1,4,7577.92
T00082,23-03-21,Outlet A,Mouse,173,599,103627,70000000,1,4,7046.636
T00083,24-03-21,Outlet B,Keyboard,151,899,135749,70000000,1,3,9230.932
T00083,24-03-21,Outlet B,Monitor,116,269,31204,70000000,1,3,2121.872
T00083,24-03-21,Outlet B,Notebook 3 Pro,33,720,23760,70000000,1,3,1615.68
T00084,25-03-21,Outlet B,Headphones,149,179,26671,70000000,1,4,1813.628
T00084,25-03-21,Outlet B,Notebook 3 Pro,34,720,24480,70000000,1,4,1664.64
T00084,25-03-21,Outlet B,Mouse,213,599,127587,70000000,1,4,8675.916
T00084,25-03-21,Outlet B,Monitor,55,269,14795,70000000,1,4,1006.06
T00085,26-03-21,Outlet A,Notebook 3 Pro,239,720,172080,70000000,1,3,11701.44
T00085,26-03-21,Outlet A,Notebook 3,93,560,52080,70000000,1,3,3541.44
T00085,26-03-21,Outlet A,Monitor,187,269,50303,70000000,1,3,3420.604
T00086,27-03-21,Outlet B,Keyboard,213,899,191487,70000000,0,3,13021.116
T00086,27-03-21,Outlet B,Mouse,80,599,47920,70000000,0,3,3258.56
T00086,27-03-21,Outlet B,Monitor,59,269,15871,70000000,0,3,1079.228
T00087,28-03-21,Outlet A,Keyboard,115,899,103385,70000000,0,3,7030.18
T00087,28-03-21,Outlet A,Notebook 3 Pro,151,720,108720,70000000,0,3,7392.96
T00087,28-03-21,Outlet A,Mouse,246,599,147354,70000000,0,3,10020.072
T00088,29-03-21,Outlet A,Keyboard,140,899,125860,70000000,1,3,8558.48
T00088,29-03-21,Outlet A,Notebook 3 Pro,191,720,137520,70000000,1,3,9351.36
T00088,29-03-21,Outlet A,Mouse,157,599,94043,70000000,1,3,6394.924
T00089,30-03-21,Outlet A,Headphones,125,179,22375,70000000,1,4,1521.5
T00089,30-03-21,Outlet A,Keyboard,76,899,68324,70000000,1,4,4646.032
T00089,30-03-21,Outlet A,Mouse,164,599,98236,70000000,1,4,6680.048
T00089,30-03-21,Outlet A,Notebook 3,160,560,89600,70000000,1,4,6092.8
T00090,31-03-21,Outlet A,Headphones,184,179,32936,70000000,1,3,2239.648
T00090,31-03-21,Outlet A,Keyboard,165,899,148335,70000000,1,3,10086.78
T00090,31-03-21,Outlet A,Mouse,68,599,40732,70000000,1,3,2769.776
T00091,04-01-21,Outlet A,Headphones,168,179,30072,70000000,1,3,2044.896
T00091,04-01-21,Outlet A,Keyboard,19,899,17081,70000000,1,3,1161.508
T00091,04-01-21,Outlet A,Mouse,168,599,100632,70000000,1,3,6842.976
T00092,04-02-21,Outlet A,Headphones,197,179,35263,70000000,1,3,2397.884
T00092,04-02-21,Outlet A,Mouse,37,599,22163,70000000,1,3,1507.084
T00092,04-02-21,Outlet A,Monitor,92,269,24748,70000000,1,3,1682.864
T00093,04-03-21,Outlet B,Headphones,199,179,35621,70000000,1,4,2422.228
T00093,04-03-21,Outlet B,Keyboard,43,899,38657,70000000,1,4,2628.676
T00093,04-03-21,Outlet B,Mouse,203,599,121597,70000000,1,4,8268.596
T00093,04-03-21,Outlet B,Monitor,44,269,11836,70000000,1,4,804.848
T00094,04-04-21,Outlet A,Headphones,212,179,37948,70000000,0,3,2580.464
T00094,04-04-21,Outlet A,Notebook 3 Pro,111,720,79920,70000000,0,3,5434.56
T00094,04-04-21,Outlet A,Monitor,37,269,9953,70000000,0,3,676.804
T00095,04-05-21,Outlet C,Keyboard,29,899,26071,70000000,1,4,1772.828
T00095,04-05-21,Outlet C,Mouse,135,599,80865,70000000,1,4,5498.82
T00095,04-05-21,Outlet C,Notebook 3,58,560,32480,70000000,1,4,2208.64
T00095,04-05-21,Outlet C,Notebook 3 Pro,166,720,119520,70000000,1,4,8127.36
T00096,04-06-21,Outlet A,Keyboard,11,899,9889,70000000,0,4,672.452
T00096,04-06-21,Outlet A,Notebook 3,230,560,128800,70000000,0,4,8758.4
T00096,04-06-21,Outlet A,Mouse,151,599,90449,70000000,0,4,6150.532
T00096,04-06-21,Outlet A,Monitor,233,269,62677,70000000,0,4,4262.036
T00097,04-07-21,Outlet A,Keyboard,108,899,97092,70000000,1,3,6602.256
T00097,04-07-21,Outlet A,Mouse,12,599,7188,70000000,1,3,488.784
T00097,04-07-21,Outlet A,Notebook 3,181,560,101360,70000000,1,3,6892.48
T00098,04-08-21,Outlet B,Headphones,85,179,15215,70000000,1,3,1034.62
T00098,04-08-21,Outlet B,Notebook 3 Pro,86,720,61920,70000000,1,3,4210.56
T00098,04-08-21,Outlet B,Notebook 3,66,560,36960,70000000,1,3,2513.28
T00099,04-09-21,Outlet A,Notebook 3 Pro,177,720,127440,70000000,1,3,8665.92
T00099,04-09-21,Outlet A,Mouse,187,599,112013,70000000,1,3,7616.884
T00099,04-09-21,Outlet A,Monitor,119,269,32011,70000000,1,3,2176.748
T000100,04-10-21,Outlet A,Headphones,179,179,32041,70000000,1,3,2178.788
T000100,04-10-21,Outlet A,Keyboard,144,899,129456,70000000,1,3,8803.008
T000100,04-10-21,Outlet A,Mouse,186,599,111414,70000000,1,3,7576.152
T000101,04-11-21,Outlet B,Keyboard,211,899,189689,70000000,1,4,12898.852
T000101,04-11-21,Outlet B,Mouse,24,599,14376,70000000,1,4,977.568
T000101,04-11-21,Outlet B,Monitor,98,269,26362,70000000,1,4,1792.616
T000101,04-11-21,Outlet B,Notebook 3,13,560,7280,70000000,1,4,495.04
T000102,04-12-21,Outlet A,Headphones,136,179,24344,70000000,0,2,1655.392
T000102,04-12-21,Outlet A,Notebook 3,117,560,65520,70000000,0,2,4455.36
T000103,13-04-21,Outlet B,Notebook 3 Pro,84,720,60480,70000000,1,3,4112.64
T000103,13-04-21,Outlet B,Notebook 3,61,560,34160,70000000,1,3,2322.88
T000103,13-04-21,Outlet B,Monitor,3,269,807,70000000,1,3,54.876
T000104,14-04-21,Outlet A,Headphones,234,179,41886,70000000,1,4,2848.248
T000104,14-04-21,Outlet A,Notebook 3 Pro,66,720,47520,70000000,1,4,3231.36
T000104,14-04-21,Outlet A,Mouse,195,599,116805,70000000,1,4,7942.74
T000104,14-04-21,Outlet A,Notebook 3,53,560,29680,70000000,1,4,2018.24
