Sales_ID,Date,Outlets,Product,Quantity,Total,Target,Count_of_Products,Net Profit,Upsell
T00050,19-02-21,Outlet A,"['Notebook 3 Pro', 'Mouse']","[227, 64]",201776,70000000,2,13720.768,0
T00051,20-02-21,Outlet A,"['Notebook 3 Pro', 'Mouse', 'Monitor', 'Notebook 3']","[191, 82, 120, 80]",263718,70000000,4,17932.824,1
T00052,21-02-21,Outlet A,"['Headphones', 'Mouse', 'Notebook 3', 'Monitor']","[19, 131, 199, 63]",210257,70000000,4,14297.476,1
T00053,22-02-21,Outlet A,"['Headphones', 'Keyboard', 'Monitor']","[166, 158, 98]",198118,70000000,3,13472.024,1
T00054,23-02-21,Outlet C,"['Keyboard', 'Notebook 3', 'Notebook 3 Pro']","[139, 217, 71]",297601,70000000,3,20236.868,0
T00055,24-02-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[1, 22, 214, 56]",159989,70000000,4,10879.252,1
T00056,25-02-21,Outlet B,"['Keyboard', 'Notebook 3 Pro', 'Headphones']","[2, 97, 187]",105111,70000000,3,7147.548,1
T00057,26-02-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Notebook 3', 'Headphones']","[234, 103, 128, 211]",393975,70000000,4,26790.3,1
T00058,27-02-21,Outlet A,"['Keyboard', 'Notebook 3']","[85, 72]",116735,70000000,2,7937.98,1
T00059,28-02-21,Outlet A,"['Keyboard', 'Mouse', 'Monitor']","[181, 193, 9]",280747,70000000,3,19090.796,1
T00060,01-03-21,Outlet C,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[229, 86, 125]",250019,70000000,3,17001.292,1
T00061,02-03-21,Outlet A,"['Keyboard', 'Notebook 3', 'Notebook 3 Pro']","[108, 88, 80]",203972,70000000,3,13870.096,0
T00062,03-03-21,Outlet C,"['Headphones', 'Keyboard', 'Mouse']","[147, 24, 235]",188654,70000000,3,12828.472,1
T00063,04-03-21,Outlet B,"['Keyboard', 'Mouse', 'Monitor']","[111, 180, 226]",268403,70000000,3,18251.404,1
T00064,05-03-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse']","[170, 213, 232]",322758,70000000,3,21947.544,1
T00065,06-03-21,Outlet A,"['Mouse', 'Notebook 3']","[201, 30]",137199,70000000,2,9329.532,1
T00066,07-03-21,Outlet B,"['Headphones', 'Mouse', 'Monitor']","[225, 214, 35]",177876,70000000,3,12095.568,0
T00067,08-03-21,Outlet B,"['Keyboard', 'Notebook 3', 'Mouse', 'Notebook 3 Pro']","[28, 165, 186, 96]",298106,70000000,4,20271.208,1
T00068,09-03-21,Outlet B,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[225, 179, 141]",300169,70000000,3,20411.492,1
T00069,10-03-21,Outlet C,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[58, 173, 203, 65]",274024,70000000,4,18633.632,1
T00070,11-03-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[35, 103, 197]",216865,70000000,3,14746.82,1
T00071,12-03-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Notebook 3']","[220, 136, 11]",143460,70000000,3,9755.28,1
T00072,13-03-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3', 'Mouse']","[126, 83, 231, 57]",260674,70000000,4,17725.832,0
T00073,14-03-21,Outlet B,"['Keyboard', 'Notebook 3 Pro', 'Notebook 3']","[34, 62, 236]",207366,70000000,3,14100.888,1
T00074,15-03-21,Outlet C,"['Keyboard', 'Monitor', 'Notebook 3 Pro']","[15, 153, 148]",161202,70000000,3,10961.736,0
T00075,16-03-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse', 'Notebook 3 Pro']","[56, 159, 140, 27]",256265,70000000,4,17426.02,1
T00076,17-03-21,Outlet B,"['Headphones', 'Notebook 3']","[26, 70]",43854,70000000,2,2982.072,1
T00077,18-03-21,Outlet C,"['Keyboard', 'Mouse', 'Monitor']","[80, 115, 213]",198102,70000000,3,13470.936,1
T00078,19-03-21,Outlet B,"['Headphones', 'Keyboard', 'Notebook 3', 'Notebook 3 Pro']","[41, 77, 127, 207]",296722,70000000,4,20177.096,1
T00079,20-03-21,Outlet B,"['Keyboard', 'Notebook 3 Pro', 'Notebook 3', 'Mouse']","[233, 192, 30, 234]",504673,70000000,4,34317.764,1
T00080,21-03-21,Outlet A,"['Notebook 3 Pro', 'Notebook 3', 'Mouse']","[189, 222, 19]",271781,70000000,3,18481.108,0
T00081,22-03-21,Outlet B,"['Headphones', 'Mouse', 'Monitor', 'Notebook 3']","[104, 22, 191, 143]",163253,70000000,4,11101.204,1
T00082,23-03-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Notebook 3', 'Mouse']","[155, 171, 199, 173]",365932,70000000,4,24883.376,1
T00083,24-03-21,Outlet B,"['Keyboard', 'Monitor', 'Notebook 3 Pro']","[151, 116, 33]",190713,70000000,3,12968.484,1
T00084,25-03-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[149, 34, 213, 55]",193533,70000000,4,13160.244,1
T00085,26-03-21,Outlet A,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[239, 93, 187]",274463,70000000,3,18663.484,1
T00086,27-03-21,Outlet B,"['Keyboard', 'Mouse', 'Monitor']","[213, 80, 59]",255278,70000000,3,17358.904,0
T00087,28-03-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Mouse']","[115, 151, 246]",359459,70000000,3,24443.212,0
T00088,29-03-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Mouse']","[140, 191, 157]",357423,70000000,3,24304.764,1
T00089,30-03-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse', 'Notebook 3']","[125, 76, 164, 160]",278535,70000000,4,18940.38,1
T00090,31-03-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[184, 165, 68]",222003,70000000,3,15096.204,1
T00091,01-04-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[168, 19, 168]",147785,70000000,3,10049.38,1
T00092,02-04-21,Outlet A,"['Headphones', 'Mouse', 'Monitor']","[197, 37, 92]",82174,70000000,3,5587.832,1
T00093,03-04-21,Outlet B,"['Headphones', 'Keyboard', 'Mouse', 'Monitor']","[199, 43, 203, 44]",207711,70000000,4,14124.348,1
T00094,04-04-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Monitor']","[212, 111, 37]",127821,70000000,3,8691.828,0
T00095,05-04-21,Outlet C,"['Keyboard', 'Mouse', 'Notebook 3', 'Notebook 3 Pro']","[29, 135, 58, 166]",258936,70000000,4,17607.648,1
T00096,06-04-21,Outlet A,"['Keyboard', 'Notebook 3', 'Mouse', 'Monitor']","[11, 230, 151, 233]",291815,70000000,4,19843.42,0
T00097,07-04-21,Outlet A,"['Keyboard', 'Mouse', 'Notebook 3']","[108, 12, 181]",205640,70000000,3,13983.52,1
T00098,08-04-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Notebook 3']","[85, 86, 66]",114095,70000000,3,7758.46,1
T00099,09-04-21,Outlet A,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[177, 187, 119]",271464,70000000,3,18459.552,1
T000100,10-04-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[179, 144, 186]",272911,70000000,3,18557.948,1
T000101,11-04-21,Outlet B,"['Keyboard', 'Mouse', 'Monitor', 'Notebook 3']","[211, 24, 98, 13]",237707,70000000,4,16164.076,1
T000102,12-04-21,Outlet A,"['Headphones', 'Notebook 3']","[136, 117]",89864,70000000,2,6110.752,0
T000103,13-04-21,Outlet B,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[84, 61, 3]",95447,70000000,3,6490.396,1
T000104,14-04-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Notebook 3']","[234, 66, 195, 53]",235891,70000000,4,16040.588,1
T000105,15-04-21,Outlet B,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[188, 123, 249]",276018,70000000,3,18769.224,1
T000106,16-04-21,Outlet A,"['Keyboard', 'Notebook 3']","[105, 59]",127435,70000000,2,8665.58,1
T000107,17-04-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[20, 211, 139]",276530,70000000,3,18804.04,1
T000108,18-04-21,Outlet B,"['Headphones', 'Notebook 3 Pro', 'Notebook 3', 'Keyboard']","[144, 57, 231, 173]",351703,70000000,4,23915.804,1
T000109,19-04-21,Outlet A,"['Keyboard', 'Notebook 3', 'Mouse']","[109, 218, 219]",351252,70000000,3,23885.136,1
T000110,20-04-21,Outlet C,"['Headphones', 'Keyboard', 'Monitor']","[145, 212, 177]",264156,70000000,3,17962.608,1
T000111,21-04-21,Outlet A,"['Headphones', 'Mouse', 'Monitor']","[53, 119, 29]",88569,70000000,3,6022.692,1
T000112,22-04-21,Outlet C,"['Notebook 3 Pro', 'Notebook 3', 'Mouse']","[161, 183, 198]",337002,70000000,3,22916.136,1
T000113,23-04-21,Outlet A,"['Keyboard', 'Mouse', 'Monitor']","[160, 166, 95]",268829,70000000,3,18280.372,0
T000114,24-04-21,Outlet B,"['Headphones', 'Keyboard', 'Monitor']","[92, 229, 178]",270221,70000000,3,18375.028,1
T000115,25-04-21,Outlet A,['Monitor'],[213],57297,70000000,1,3896.196,1
T000116,26-04-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Notebook 3']","[213, 190, 179]",428527,70000000,3,29139.836,1
T000117,27-04-21,Outlet C,"['Notebook 3', 'Monitor']","[188, 109]",134601,70000000,2,9152.868,0
T000118,28-04-21,Outlet B,"['Keyboard', 'Mouse']","[137, 143]",208820,70000000,2,14199.76,1
T000119,29-04-21,Outlet B,"['Headphones', 'Keyboard', 'Monitor']","[244, 1, 207]",100258,70000000,3,6817.544,1
T000120,30-04-21,Outlet C,"['Headphones', 'Keyboard', 'Mouse', 'Notebook 3']","[61, 106, 182, 8]",219711,70000000,4,14940.348,0
T000121,01-05-21,Outlet B,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[24, 242, 153]",193957,70000000,3,13189.076,1
T000122,02-05-21,Outlet B,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[156, 206, 198]",288976,70000000,3,19650.368,1
T000123,03-05-21,Outlet B,"['Keyboard', 'Notebook 3 Pro', 'Mouse', 'Notebook 3']","[88, 18, 10, 136]",174222,70000000,4,11847.096,1
T000124,04-05-21,Outlet B,"['Keyboard', 'Notebook 3', 'Mouse', 'Monitor']","[245, 4, 212, 35]",358898,70000000,4,24405.064,1
T000125,05-05-21,Outlet C,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[160, 66, 143]",193201,70000000,3,13137.668,1
T000126,06-05-21,Outlet B,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[85, 34, 226]",142360,70000000,3,9680.48,1
T000127,07-05-21,Outlet A,"['Headphones', 'Mouse', 'Notebook 3', 'Monitor']","[65, 203, 93, 40]",196072,70000000,4,13332.896,1
T000128,08-05-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3', 'Monitor']","[228, 148, 144, 135]",290819,70000000,4,19775.692,1
T000129,09-05-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[77, 20, 187]",143776,70000000,3,9776.768,1
T000130,10-05-21,Outlet B,"['Headphones', 'Keyboard', 'Mouse', 'Notebook 3']","[24, 164, 172, 193]",362840,70000000,4,24673.12,1
T000131,11-05-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Monitor']","[195, 83, 73]",114302,70000000,3,7772.536,1
T000132,12-05-21,Outlet B,"['Headphones', 'Notebook 3', 'Monitor']","[105, 1, 153]",60512,70000000,3,4114.816,1
T000133,13-05-21,Outlet A,"['Headphones', 'Keyboard', 'Monitor']","[166, 82, 169]",148893,70000000,3,10124.724,1
T000134,14-05-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3', 'Monitor']","[58, 95, 91, 138]",183869,70000000,4,12503.092,0
T000135,15-05-21,Outlet A,"['Notebook 3 Pro', 'Mouse', 'Notebook 3']","[205, 204, 71]",309556,70000000,3,21049.808,1
T000136,16-05-21,Outlet A,"['Headphones', 'Keyboard', 'Monitor']","[120, 101, 159]",155050,70000000,3,10543.4,1
T000137,17-05-21,Outlet B,"['Headphones', 'Notebook 3']","[190, 234]",165050,70000000,2,11223.4,1
T000138,18-05-21,Outlet C,"['Mouse', 'Notebook 3', 'Monitor']","[206, 197, 21]",239363,70000000,3,16276.684,0
T000139,19-05-21,Outlet A,"['Keyboard', 'Monitor', 'Notebook 3 Pro']","[223, 50, 203]",360087,70000000,3,24485.916,1
T000140,20-05-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse']","[105, 89, 94]",139181,70000000,3,9464.308,1
T000141,21-05-21,Outlet A,"['Headphones', 'Mouse', 'Notebook 3']","[111, 207, 72]",184182,70000000,3,12524.376,1
T000142,22-05-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[158, 103, 66, 175]",189051,70000000,4,12855.468,0
T000143,23-05-21,Outlet A,"['Keyboard', 'Mouse', 'Notebook 3']","[101, 63, 185]",232136,70000000,3,15785.248,1
T000144,24-05-21,Outlet A,"['Notebook 3', 'Monitor']","[115, 32]",73008,70000000,2,4964.544,1
T000145,25-05-21,Outlet A,"['Keyboard', 'Mouse', 'Monitor', 'Notebook 3 Pro']","[86, 64, 68, 10]",141142,70000000,4,9597.656,1
T000146,26-05-21,Outlet A,"['Keyboard', 'Mouse', 'Monitor', 'Notebook 3 Pro']","[197, 80, 59, 198]",383454,70000000,4,26074.872,1
T000147,27-05-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse']","[103, 117, 95]",159582,70000000,3,10851.576,1
T000148,28-05-21,Outlet B,['Notebook 3 Pro'],[65],46800,70000000,1,3182.4,1
T000149,29-05-21,Outlet B,"['Keyboard', 'Notebook 3 Pro', 'Headphones']","[250, 121, 179]",343911,70000000,3,23385.948,1
T000150,30-05-21,Outlet C,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[111, 213, 211, 85]",322483,70000000,4,21928.844,1
T000151,31-05-21,Outlet A,"['Headphones', 'Keyboard']","[38, 202]",188400,70000000,2,12811.2,0
T000152,01-06-21,Outlet B,"['Headphones', 'Mouse', 'Monitor']","[226, 53, 29]",80002,70000000,3,5440.136,1
T000153,02-06-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Monitor']","[183, 29, 126]",219291,70000000,3,14911.788,1
T000154,03-06-21,Outlet C,"['Notebook 3 Pro', 'Notebook 3', 'Monitor']","[21, 158, 229]",165201,70000000,3,11233.668,0
T000155,04-06-21,Outlet C,"['Headphones', 'Mouse', 'Monitor']","[138, 247, 108]",201707,70000000,3,13716.076,1
T000156,05-06-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Monitor']","[6, 188, 36]",146118,70000000,3,9936.024,0
T000157,06-06-21,Outlet C,"['Keyboard', 'Mouse', 'Notebook 3']","[130, 154, 97]",263436,70000000,3,17913.648,1
T000158,07-06-21,Outlet C,"['Headphones', 'Notebook 3 Pro', 'Monitor']","[148, 155, 119]",170103,70000000,3,11567.004,1
T000159,08-06-21,Outlet B,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[200, 71, 138]",223651,70000000,3,15208.268,1
T000160,09-06-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3']","[82, 9, 54]",53009,70000000,3,3604.612,1
T000161,10-06-21,Outlet A,"['Headphones', 'Notebook 3', 'Monitor']","[29, 125, 54]",89717,70000000,3,6100.756,0
T000162,11-06-21,Outlet C,"['Headphones', 'Notebook 3 Pro', 'Notebook 3']","[241, 124, 233]",262899,70000000,3,17877.132,0
T000163,12-06-21,Outlet A,"['Headphones', 'Keyboard', 'Monitor', 'Notebook 3 Pro']","[45, 45, 177, 35]",121323,70000000,4,8249.964,1
T000164,13-06-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Mouse']","[218, 60, 169]",340413,70000000,3,23148.084,1
T000165,14-06-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3']","[119, 194, 208]",312187,70000000,3,21228.716,1
T000166,15-06-21,Outlet C,"['Headphones', 'Keyboard', 'Notebook 3']","[126, 19, 23]",52515,70000000,3,3571.02,1
T000167,16-06-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3', 'Monitor']","[14, 20, 181, 244]",187482,70000000,4,12748.776,1
T000168,17-06-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse']","[192, 74, 75]",132573,70000000,3,9014.964,0
T000169,18-06-21,Outlet C,"['Headphones', 'Keyboard', 'Mouse', 'Monitor']","[4, 182, 52, 96]",221306,70000000,4,15048.808,1
T000170,19-06-21,Outlet C,"['Headphones', 'Mouse', 'Monitor']","[1, 104, 144]",101211,70000000,3,6882.348,1
T000171,20-06-21,Outlet A,"['Notebook 3 Pro', 'Notebook 3', 'Mouse']","[248, 126, 106]",312614,70000000,3,21257.752,1
T000172,21-06-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Monitor']","[11, 185, 40]",153849,70000000,3,10461.732,1
T000173,22-06-21,Outlet C,"['Headphones', 'Keyboard', 'Mouse']","[36, 172, 221]",293451,70000000,3,19954.668,1
T000174,23-06-21,Outlet C,"['Headphones', 'Keyboard', 'Mouse', 'Monitor']","[23, 46, 5, 185]",98231,70000000,4,6679.708,1
T000175,24-06-21,Outlet B,"['Headphones', 'Mouse', 'Notebook 3']","[163, 21, 130]",114556,70000000,3,7789.808,1
T000176,25-06-21,Outlet B,"['Headphones', 'Mouse', 'Monitor']","[157, 75, 95]",98583,70000000,3,6703.644,0
T000177,26-06-21,Outlet B,"['Keyboard', 'Mouse', 'Monitor']","[174, 182, 213]",322741,70000000,3,21946.388,1
T000178,27-06-21,Outlet A,"['Keyboard', 'Mouse', 'Monitor']","[116, 150, 231]",256273,70000000,3,17426.564,1
T000179,28-06-21,Outlet A,"['Keyboard', 'Monitor', 'Notebook 3 Pro']","[155, 4, 65]",187221,70000000,3,12731.028,1
T000180,29-06-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Monitor']","[200, 242, 186, 190]",372564,70000000,4,25334.352,1
T000181,30-06-21,Outlet C,"['Keyboard', 'Notebook 3 Pro', 'Headphones', 'Monitor']","[179, 172, 192, 223]",379116,70000000,4,25779.888,1
T000182,01-07-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Notebook 3', 'Monitor']","[128, 6, 136, 70]",122222,70000000,4,8311.096,1
T000183,02-07-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Monitor']","[87, 243, 242]",255631,70000000,3,17382.908,1
T000184,03-07-21,Outlet A,"['Headphones', 'Keyboard', 'Mouse']","[105, 228, 33]",243534,70000000,3,16560.312,1
T000185,04-07-21,Outlet C,"['Mouse', 'Monitor']","[188, 205]",167757,70000000,2,11407.476,1
T000186,05-07-21,Outlet A,"['Notebook 3 Pro', 'Mouse']","[55, 238]",182162,70000000,2,12387.016,1
T000187,06-07-21,Outlet B,"['Keyboard', 'Mouse', 'Notebook 3', 'Monitor']","[151, 112, 137, 33]",288434,70000000,4,19613.512,1
T000188,07-07-21,Outlet B,"['Headphones', 'Mouse', 'Monitor']","[170, 117, 247]",166956,70000000,3,11353.008,1
T000189,08-07-21,Outlet B,"['Headphones', 'Mouse', 'Monitor']","[116, 25, 127]",69902,70000000,3,4753.336,1
T000190,09-07-21,Outlet C,"['Headphones', 'Notebook 3 Pro', 'Notebook 3', 'Monitor']","[230, 12, 63, 243]",150457,70000000,4,10231.076,1
T000191,10-07-21,Outlet A,"['Notebook 3 Pro', 'Mouse', 'Monitor', 'Notebook 3']","[128, 83, 120, 119]",240797,70000000,4,16374.196,1
T000192,11-07-21,Outlet B,"['Notebook 3 Pro', 'Mouse', 'Monitor']","[107, 176, 116]",213668,70000000,3,14529.424,0
T000193,12-07-21,Outlet B,"['Notebook 3', 'Monitor']","[23, 126]",46774,70000000,2,3180.632,1
T000194,13-07-21,Outlet A,"['Headphones', 'Notebook 3 Pro', 'Mouse', 'Keyboard']","[33, 213, 100, 205]",403462,70000000,4,27435.416,1
T000195,14-07-21,Outlet C,"['Keyboard', 'Mouse', 'Monitor']","[28, 46, 159]",95497,70000000,3,6493.796,1
T000196,15-07-21,Outlet B,"['Headphones', 'Keyboard', 'Notebook 3 Pro']","[182, 180, 200]",338398,70000000,3,23011.064,1
T000197,16-07-21,Outlet C,"['Notebook 3 Pro', 'Notebook 3']","[10, 44]",31840,70000000,2,2165.12,1
T000198,17-07-21,Outlet A,"['Keyboard', 'Notebook 3 Pro', 'Notebook 3', 'Headphones']","[1, 227, 153, 58]",260401,70000000,4,17707.268,1
T000199,18-07-21,Outlet A,"['Headphones', 'Keyboard', 'Notebook 3']","[132, 192, 193]",304316,70000000,3,20693.488,0
